Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
8041,M,VESPERTILIONIDAE,LASIONYCTERIS NOCTIV0ANS,WADENA,1968,0,8.79,5.34,8.34,391.467924,0.391467924,101,10.1,0.0387592,46,10
15154,M,VESPERTILIONIDAE,LASIONYCTERIS NOCTIV0ANS,CLAY,1988,0,8.58,5.55,8.54,406.66626,0.40666626,114,11.4,0.035672479,39,10
18327,F,VESPERTILIONIDAE,LASIONYCTERIS NOCTIV0ANS,CLEARWATER,1999,0,8.72,5.84,8.59,437.444032,0.437444032,102,10.2,0.04288667,39,8
18384,F,VESPERTILIONIDAE,LASIONYCTERIS NOCTIV0ANS,WABASHA,1983,0,9.02,5.38,8.16,395.985216,0.395985216,105,10.5,0.037712878,45,8
1567,F,VESPERTILIONIDAE,LASIURUS BOREALIS,CARVER,1941,0,7.99,6.03,7.73,372.429081,0.372429081,108,10.8,0.034484174,46,8
1568,M,VESPERTILIONIDAE,LASIURUS BOREALIS,CARVER,1941,0,7.68,5.62,7.29,314.648064,0.314648064,97,9.7,0.032437945,44,7
11363,F,VESPERTILIONIDAE,LASIURUS BOREALIS,COOK,1972,0,8.17,6.38,7.9,411.78434,0.41178434,116,11.6,0.03549865,52,10
12756,M,VESPERTILIONIDAE,LASIURUS BOREALIS,CLEARWATER,1965,0,8.62,5.85,7.84,395.34768,0.39534768,94,9.4,0.042058264,42,9
12757,M,VESPERTILIONIDAE,LASIURUS BOREALIS,LINCOLN,1966,0,7.93,5.58,7.37,326.118078,0.326118078,90,9,0.036235342,45,7
14576,M,VESPERTILIONIDAE,LASIURUS BOREALIS,WINONA,1982,0,8.31,6.13,7.74,394.277922,0.394277922,111,11.1,0.035520534,42,9
14577,F,VESPERTILIONIDAE,LASIURUS BOREALIS,WINONA,1982,0,8.38,5.76,7.65,369.25632,0.36925632,113,11.3,0.03267755,44,10
14578,F,VESPERTILIONIDAE,LASIURUS BOREALIS,WINONA,1982,0,8.16,5.74,7.66,358.782144,0.358782144,109,10.9,0.032915793,40,9
15155,F,VESPERTILIONIDAE,LASIURUS BOREALIS,CLAY,1988,0,8.21,5.82,7.96,380.346312,0.380346312,115,11.5,0.033073592,46,9
15156,F,VESPERTILIONIDAE,LASIURUS BOREALIS,CLAY,1988,0,8.85,6.01,7.89,419.657265,0.419657265,110,11,0.03815066,42,8
15157,F,VESPERTILIONIDAE,LASIURUS BOREALIS,LAC QUI PARLE,1988,0,8.22,6.16,7.92,401.030784,0.401030784,105,10.5,0.038193408,43,7
43,F,VESPERTILIONIDAE,LASIURUS CINEREUS,WASECA,1910,0,10.68,6.8,10.26,745.12224,0.74512224,136.5,13.65,0.05458771,66.7,14.3
4088,UNKNOWN,VESPERTILIONIDAE,LASIURUS CINEREUS,NORMAN,1956,0,10.46,6.43,10.02,673.923156,0.673923156,131,13.1,0.051444516,55,12
4939,F,VESPERTILIONIDAE,LASIURUS CINEREUS,CLEARWATER,1959,0,10.27,6.56,9.81,660.911472,0.660911472,136,13.6,0.048596432,55,11
7630,M,VESPERTILIONIDAE,LASIURUS CINEREUS,ST. LOUIS,1966,0,10.5,7.47,9.93,778.85955,0.77885955,133,13.3,0.058560868,42,11
